"item","ceiling_flag","floor_flag","skewness_flag","kurtosis_flag","mean_plus_sd_flag","mean_minus_sd_flag"
"Q01","-","-","-","-","-","-"
"Q02","-","-","-","-","-","-"
"Q03","-","-","-","-","-","-"
"Q04","-","25%","-","-","-","FLAG"
"Q05","-","25%","-","-","-","-"
"Q06","25%","-","-","-","-","-"
"Q07","-","25%","-","-","-","-"
"Q08","-","-","-","-","-","-"
"Q09","-","20%","-","-","-","-"
"Q10","-","-","-","-","-","-"
"Q11","-","25%","-","-","-","-"
"Q12","-","20%","-","-","-","-"
"Q13","-","20%","-","-","-","-"
"Q14","-","25%","-","-","-","-"
"Q15","-","-","-","-","-","-"
"Q16","-","-","-","-","-","-"
"Q17","-","-","-","-","-","-"
"Q18","20%","-","-","-","-","-"
"Q19","20%","-","-","-","-","-"
"Q20","-","-","-","-","-","-"
"Q21","-","25%","-","-","-","-"
"Q22","-","25%","-","-","-","-"
"Q23","20%","-","-","-","-","-"
"Q24","20%","-","-","-","-","-"
"Q25","-","-","-","-","-","-"
"Q26","-","20%","-","-","-","-"
"Q27","-","-","-","-","-","-"
"Q28","20%","-","-","-","-","-"
